provinceid,provincename,cityid,cityname,type
14,湖北,14,全省,2
14,湖北,229,武汉,3
14,湖北,228,孝感,3
14,湖北,230,黄冈,3
14,湖北,227,随州,3
14,湖北,240,荆州,3
14,湖北,226,襄阳,3
14,湖北,238,黄石,3
14,湖北,232,宜昌,3
14,湖北,233,荆门,3
14,湖北,237,鄂州,3
14,湖北,241,咸宁,3
14,湖北,225,十堰,3
14,湖北,236,仙桃,3
14,湖北,239,恩施,3
14,湖北,234,天门,3
14,湖北,235,潜江,3
14,湖北,231,神农架,3
27,浙江,27,全省,2
27,浙江,389,温州,3
27,浙江,382,杭州,3
27,浙江,384,宁波,3
27,浙江,387,台州,3
27,浙江,386,金华,3
27,浙江,383,绍兴,3
27,浙江,381,嘉兴,3
27,浙江,388,丽水,3
27,浙江,385,衢州,3
27,浙江,380,湖州,3
27,浙江,390,舟山,3
7,广东,7,全省,2
7,广东,129,深圳,3
7,广东,131,广州,3
7,广东,140,珠海,3
7,广东,134,佛山,3
7,广东,130,东莞,3
7,广东,135,中山,3
7,广东,127,惠州,3
7,广东,123,汕头,3
7,广东,141,湛江,3
7,广东,133,肇庆,3
7,广东,139,阳江,3
7,广东,121,梅州,3
7,广东,132,清远,3
7,广东,136,江门,3
7,广东,124,揭阳,3
7,广东,128,韶关,3
7,广东,138,茂名,3
7,广东,126,汕尾,3
7,广东,122,潮州,3
7,广东,125,河源,3
12,河南,12,全省,2
12,河南,209,信阳,3
12,河南,207,南阳,3
12,河南,200,郑州,3
12,河南,208,驻马店,3
12,河南,206,商丘,3
12,河南,205,周口,3
12,河南,201,平顶山,3
12,河南,196,新乡,3
12,河南,211,安阳,3
12,河南,202,许昌,3
12,河南,203,漯河,3
12,河南,199,洛阳,3
12,河南,204,开封,3
12,河南,195,焦作,3
12,河南,197,鹤壁,3
12,河南,198,三门峡,3
12,河南,210,濮阳,3
12,河南,194,济源,3
15,湖南,15,全省,2
15,湖南,247,长沙,3
15,湖南,242,岳阳,3
15,湖南,253,邵阳,3
15,湖南,244,常德,3
