time,province,accumulated_confirmed,accumulated_suspected case,accumulated_death,accumulated_recovered ,accumulated_contact,medical_watch,out of medical watch,new confirm case,new suspected case,new death,new recovered 
1.1,湖北,41,0,1,2,739,739,0,41,0,1,2
1.11,湖北,41,0,1,6,763,717,46,0,0,0,4
1.12,湖北,41,0,1,7,763,687,76,0,0,0,1
1.13,湖北,41,0,1,7,763,576,187,0,0,0,1
1.14,湖北,41,0,1,7,763,313,450,0,0,0,1
1.15,湖北,41,0,2,12,763,119,644,0,0,1,5
1.16,湖北,45,0,2,15,763,98,665,4,0,0,3
1.17,湖北,62,0,2,19,763,82,681,17,0,0,4
1.18,湖北,121,0,3,24,,,,59,0,1,5
1.19,湖北,198,0,3,25,817,90,727,77,0,0,1
1.2,湖北,270,,6,25,1070,331,739,72,,3,0
1.21,湖北,375,99,9,28,1181,426,1181,105,,3,3
1.22,湖北,444,,17,28,2556,1693,863,69,,8,0
1.23,湖北,549,,24,31,3653,2776,877,105,,7,3
1.24,湖北,729,,39,32,5682,4711,971,180,,15,1
1.25,湖北,1052,,52,42,7989,6904,1085,323,,13,10
1.26,湖北,1423,,76,44,10394,9103,1291,371,,24,2
1.27,湖北,2714,,100,47,16904,15559,1345,1291,,24,3
1.28,湖北,3554,,125,80,22095,20366,1729,840,,25,33
1.29,湖北,4586,,162,90,28780,26632,2148,1032,,37,10
1.3,湖北,5806,,204,116,35144,32340,2804,1220,,42,26
1.31,湖北,7153,,249,166,41075,36838,4237,1347,,45,50
2.1,湖北,9074,,294,215,48571,43121,5450,1921,2606,45,49
2.2,湖北,11177,,350,295,56088,48171,7917,2103,3260,56,80
2.3,湖北,13522,,414,396,68988,58544,10444,2345,3182,64,101
