time,city,accumulated_confirmed,accumulated_death,accumulated_recovered,new_confirmed,new_death,new_recovered
2020-01-21,广州,2,0,0,2,0,0
2020-01-21,深圳,4,0,0,14,0,0
2020-01-21,珠海,4,0,0,0,0,0
2020-01-21,佛山,1,0,0,1,0,0
2020-01-21,惠州,0,0,0,1,0,0
2020-01-21,韶关,2,0,0,2,0,0
2020-01-21,湛江,2,0,0,0,0,0
2020-01-22,广州,5,0,0,3,0,0
2020-01-22,深圳,15,0,0,1,0,0
2020-01-22,珠海,4,0,0,0,0,0
2020-01-22,中山,1,0,0,1,0,0
2020-01-22,佛山,1,0,0,0,0,0
2020-01-22,惠州,1,0,0,0,0,0
2020-01-22,肇庆,1,0,0,1,0,0
2020-01-22,韶关,2,0,0,0,0,0
2020-01-22,湛江,2,0,0,0,0,0
2020-01-23,广州,7,0,0,2,0,0
2020-01-23,深圳,15,0,0,0,0,0
2020-01-23,珠海,8,0,0,4,0,0
2020-01-23,中山,2,0,0,1,0,0
2020-01-23,佛山,6,0,0,5,0,0
2020-01-23,惠州,5,0,0,4,0,0
2020-01-23,肇庆,1,0,0,0,0,0
2020-01-23,韶关,3,0,0,1,0,0
2020-01-23,清远,1,0,0,1,0,0
2020-01-23,湛江,2,0,0,0,0,0
2020-01-23,阳江,3,0,0,3,0,0
2020-01-24,广州,14,0,0,7,0,0
2020-01-24,深圳,20,0,0,5,0,0
2020-01-24,珠海,10,0,0,2,0,0
2020-01-24,中山,2,0,0,0,0,0
2020-01-24,佛山,9,0,0,3,0,0
2020-01-24,东莞,1,0,0,1,0,0
2020-01-24,惠州,7,0,0,2,0,0
2020-01-24,肇庆,2,0,0,1,0,0
2020-01-24,汕头,1,0,0,1,0,0
2020-01-24,韶关,3,0,0,0,0,0
2020-01-24,清远,2,0,0,1,0,0
2020-01-24,湛江,2,0,0,0,0,0
2020-01-24,阳江,5,0,0,2,0,0
2020-01-25,广州,14,0,0,0,0,0
2020-01-25,深圳,27,0,0,7,0,0
2020-01-25,珠海,10,0,0,0,0,0
2020-01-25,中山,2,0,0,0,0,0
2020-01-25,佛山,10,0,0,1,0,0
2020-01-25,东莞,2,0,0,1,0,0
2020-01-25,惠州,8,0,0,1,0,0
2020-01-25,肇庆,4,0,0,2,0,0
2020-01-25,汕头,2,0,0,1,0,0
2020-01-25,揭阳,3,0,0,3,0,0
2020-01-25,韶关,3,0,0,0,0,0
2020-01-25,清远,3,0,0,1,0,0
2020-01-25,湛江,4,0,0,2,0,0
2020-01-25,阳江,6,0,0,1,0,0
