province,city,accumulated_confirmed,accumulated_suspected,accumulated_death,accumulated_recovered,time
湖北,全省,45,0,2,0,2020/01/16
湖北,全省,62,0,2,0,2020/01/17
湖北,全省,121,0,3,0,2020/01/18
湖北,全省,198,0,4,0,2020/01/19
湖北,全省,270,11,6,25,2020/01/20
湖北,全省,375,0,9,28,2020/01/21
湖北,全省,444,279,17,28,2020/01/22
湖北,全省,549,710,24,31,2020/01/23
湖北,全省,729,1405,39,32,2020/01/24
湖北,全省,1052,1887,52,42,2020/01/25
湖北,全省,1423,4472,76,44,2020/01/26
湖北,全省,2714,5324,100,47,2020/01/27
湖北,全省,3554,6940,125,80,2020/01/28
湖北,全省,4586,9033,162,90,2020/01/29
湖北,全省,5806,11272,204,116,2020/01/30
湖北,全省,7153,13577,249,166,2020/01/31
湖北,全省,9074,14872,294,215,2020/02/01
湖北,全省,11177,16898,350,295,2020/02/02
湖北,全省,13522,18549,414,396,2020/02/03
湖北,全省,16678,18447,479,520,2020/02/04
湖北,全省,19665,19728,549,633,2020/02/05
湖北,武汉,618,0,45,40,2020/01/26
湖北,武汉,698,0,63,42,2020/01/27
湖北,武汉,1590,0,85,47,2020/01/28
湖北,武汉,1905,0,104,54,2020/01/29
湖北,武汉,2261,0,129,54,2020/01/30
湖北,武汉,2639,0,159,103,2020/01/31
湖北,武汉,3215,0,192,106,2020/02/01
湖北,武汉,4109,0,224,181,2020/02/02
湖北,武汉,5142,0,265,228,2020/02/03
湖北,武汉,6384,0,313,306,2020/02/04
湖北,武汉,8351,0,362,374,2020/02/05
湖北,武汉,10117,0,414,454,2020/02/06
湖北,孝感,55,0,0,0,2020/01/26
湖北,孝感,100,0,1,0,2020/01/27
湖北,孝感,173,0,1,0,2020/01/28
湖北,孝感,274,0,3,0,2020/01/29
湖北,孝感,399,0,6,0,2020/01/30
湖北,孝感,541,0,9,2,2020/01/31
湖北,孝感,628,0,12,2,2020/02/01
湖北,孝感,749,0,14,2,2020/02/02
湖北,孝感,918,0,14,2,2020/02/03
湖北,孝感,1120,0,17,4,2020/02/04
湖北,孝感,1462,0,18,6,2020/02/05
湖北,孝感,1886,0,25,14,2020/02/06
湖北,黄冈,122,0,2,2,2020/01/26
湖北,黄冈,154,0,4,2,2020/01/27
湖北,黄冈,213,0,4,2,2020/01/28
湖北,黄冈,324,0,5,2,2020/01/29
湖北,黄冈,496,0,12,5,2020/01/30
湖北,黄冈,573,0,12,6,2020/01/31
湖北,黄冈,726,0,14,17,2020/02/01
湖北,黄冈,1002,0,15,27,2020/02/02
湖北,黄冈,1246,0,17,32,2020/02/03
湖北,黄冈,1422,0,19,41,2020/02/04
湖北,黄冈,1645,0,25,52,2020/02/05
湖北,黄冈,1807,0,29,62,2020/02/06
湖北,随州,36,0,0,0,2020/01/26
湖北,随州,52,0,0,0,2020/01/27
湖北,随州,70,0,0,0,2020/01/28
湖北,随州,116,0,0,0,2020/01/29
湖北,随州,143,0,0,0,2020/01/30
湖北,随州,228,0,0,0,2020/01/31
湖北,随州,304,0,1,0,2020/02/01
湖北,随州,384,0,3,3,2020/02/02
湖北,随州,458,0,5,3,2020/02/03
湖北,随州,641,0,6,3,2020/02/04
湖北,随州,706,0,8,9,2020/02/05
湖北,随州,834,0,9,9,2020/02/06
湖北,荆州,33,0,2,0,2020/01/26
湖北,荆州,47,0,2,1,2020/01/27
湖北,荆州,71,0,2,1,2020/01/28
湖北,荆州,101,0,2,1,2020/01/29
湖北,荆州,151,0,3,1,2020/01/30
湖北,荆州,221,0,3,6,2020/01/31
湖北,荆州,287,0,4,2,2020/02/01
湖北,荆州,333,0,4,4,2020/02/02
湖北,荆州,499,0,6,6,2020/02/03
湖北,荆州,613,0,7,7,2020/02/04
湖北,荆州,713,0,9,12,2020/02/05
湖北,荆州,801,0,10,18,2020/02/06
湖北,襄阳,8,0,0,0,2020/01/26
湖北,襄阳,36,0,0,0,2020/01/27
湖北,襄阳,70,0,0,0,2020/01/28
湖北,襄阳,131,0,0,0,2020/01/29
湖北,襄阳,163,0,0,0,2020/01/30
湖北,襄阳,286,0,0,0,2020/01/31
湖北,襄阳,347,0,0,0,2020/02/01
湖北,襄阳,441,0,0,0,2020/02/02
湖北,襄阳,548,0,0,1,2020/02/03
湖北,襄阳,632,0,1,7,2020/02/04
湖北,襄阳,735,0,2,7,2020/02/05
湖北,襄阳,787,0,2,25,2020/02/06
湖北,黄石,31,0,1,0,2020/01/26
湖北,黄石,36,0,1,0,2020/01/27
湖北,黄石,53,0,1,0,2020/01/28
湖北,黄石,86,0,1,0,2020/01/29
湖北,黄石,113,49,1,0,2020/01/30
湖北,黄石,168,49,1,0,2020/01/31
湖北,黄石,209,0,2,1,2020/02/01
湖北,黄石,252,0,2,8,2020/02/02
湖北,黄石,334,0,2,9,2020/02/03
湖北,黄石,405,0,2,10,2020/02/04
湖北,黄石,509,0,2,23,2020/02/05
湖北,黄石,566,0,2,25,2020/02/06
湖北,宜昌,20,0,1,0,2020/01/26
湖北,宜昌,31,0,1,0,2020/01/27
湖北,宜昌,51,0,1,0,2020/01/28
湖北,宜昌,63,0,1,0,2020/01/29
湖北,宜昌,117,0,1,0,2020/01/30
湖北,宜昌,167,0,1,0,2020/01/31
湖北,宜昌,276,0,1,0,2020/02/01
湖北,宜昌,353,0,1,0,2020/02/02
湖北,宜昌,392,0,1,2,2020/02/03
湖北,宜昌,452,0,3,2,2020/02/04
湖北,宜昌,496,0,4,9,2020/02/05
湖北,宜昌,563,0,6,9,2020/02/06
湖北,荆门,38,0,1,0,2020/01/26
湖北,荆门,90,0,3,0,2020/01/27
湖北,荆门,114,0,3,0,2020/01/28
湖北,荆门,142,0,4,0,2020/01/29
湖北,荆门,191,0,4,0,2020/01/30
湖北,荆门,227,0,5,0,2020/01/31
湖北,荆门,251,0,5,1,2020/02/01
湖北,荆门,329,0,7,3,2020/02/02
湖北,荆门,345,0,11,6,2020/02/03
湖北,荆门,400,0,14,6,2020/02/04
湖北,荆门,422,0,16,16,2020/02/05
湖北,荆门,508,0,17,21,2020/02/06
湖北,鄂州,1,0,0,0,2020/01/26
湖北,鄂州,20,0,0,0,2020/01/27
湖北,鄂州,57,0,0,0,2020/01/28
湖北,鄂州,84,0,1,0,2020/01/29
湖北,鄂州,123,0,2,0,2020/01/30
湖北,鄂州,189,0,6,0,2020/01/31
湖北,鄂州,227,0,9,0,2020/02/01
湖北,鄂州,278,0,13,2,2020/02/02
湖北,鄂州,306,0,15,2,2020/02/03
湖北,鄂州,332,0,18,4,2020/02/04
湖北,鄂州,382,0,18,6,2020/02/05
湖北,鄂州,423,0,18,8,2020/02/06
湖北,咸宁,43,0,0,0,2020/01/26
湖北,咸宁,64,0,0,0,2020/01/27
湖北,咸宁,91,0,0,0,2020/01/28
湖北,咸宁,112,0,0,0,2020/01/29
湖北,咸宁,130,0,0,0,2020/01/30
湖北,咸宁,166,0,0,0,2020/01/31
湖北,咸宁,206,0,0,1,2020/02/01
湖北,咸宁,246,0,0,1,2020/02/02
湖北,咸宁,296,0,0,1,2020/02/03
湖北,咸宁,348,0,0,1,2020/02/04
湖北,咸宁,384,0,0,2,2020/02/05
湖北,咸宁,399,0,1,3,2020/02/06
湖北,十堰,20,0,0,0,2020/01/26
湖北,十堰,40,0,0,0,2020/01/27
湖北,十堰,65,0,0,0,2020/01/28
湖北,十堰,88,0,0,0,2020/01/29
湖北,十堰,119,0,0,0,2020/01/30
湖北,十堰,150,0,0,0,2020/01/31
湖北,十堰,177,0,0,0,2020/02/01
湖北,十堰,212,0,0,1,2020/02/02
湖北,十堰,256,0,0,2,2020/02/03
湖北,十堰,291,0,0,6,2020/02/04
湖北,十堰,318,0,0,9,2020/02/05
湖北,十堰,353,0,0,14,2020/02/06
湖北,仙桃,11,0,0,0,2020/01/26
湖北,仙桃,12,0,0,0,2020/01/27
湖北,仙桃,27,0,0,0,2020/01/28
湖北,仙桃,32,0,0,0,2020/01/29
湖北,仙桃,55,0,0,0,2020/01/30
湖北,仙桃,90,0,1,0,2020/01/31
湖北,仙桃,97,0,1,0,2020/02/01
湖北,仙桃,140,0,3,0,2020/02/02
湖北,仙桃,169,0,3,0,2020/02/03
湖北,仙桃,188,0,3,0,2020/02/04
湖北,仙桃,225,0,4,0,2020/02/05
湖北,仙桃,265,0,5,0,2020/02/06
湖北,恩施,17,0,0,0,2020/01/26
湖北,恩施,25,0,0,0,2020/01/27
湖北,恩施,38,0,0,0,2020/01/28
湖北,恩施,51,0,0,0,2020/01/29
湖北,恩施,66,0,0,0,2020/01/30
湖北,恩施,75,0,0,0,2020/01/31
湖北,恩施,87,0,0,1,2020/02/01
湖北,恩施,105,0,0,4,2020/02/02
湖北,恩施,111,0,0,5,2020/02/03
湖北,恩施,123,0,0,5,2020/02/04
湖北,恩施,138,0,0,10,2020/02/05
湖北,恩施,144,0,0,10,2020/02/06
湖北,天门,5,0,0,0,2020/01/26
湖北,天门,13,0,0,0,2020/01/27
湖北,天门,23,0,2,0,2020/01/28
湖北,天门,34,0,3,0,2020/01/29
湖北,天门,44,0,3,0,2020/01/30
湖北,天门,67,0,6,0,2020/01/31
湖北,天门,82,0,7,0,2020/02/01
湖北,天门,99,0,7,0,2020/02/02
湖北,天门,115,0,10,0,2020/02/03
湖北,天门,117,0,10,0,2020/02/04
湖北,天门,128,0,10,0,2020/02/05
湖北,天门,138,0,10,1,2020/02/06
湖北,潜江,5,0,1,0,2020/01/27
湖北,潜江,7,0,1,0,2020/01/28
湖北,潜江,8,0,1,0,2020/01/29
湖北,潜江,10,0,1,0,2020/01/30
湖北,潜江,12,0,1,0,2020/01/31
湖北,潜江,27,0,1,0,2020/02/01
湖北,潜江,35,0,1,0,2020/02/02
湖北,潜江,35,0,1,0,2020/02/03
湖北,潜江,44,0,1,0,2020/02/04
湖北,潜江,54,0,1,0,2020/02/05
湖北,潜江,64,0,1,0,2020/02/06
湖北,神农架,1,0,0,0,2020/01/28
湖北,神农架,3,0,0,0,2020/01/29
湖北,神农架,5,0,0,0,2020/01/30
湖北,神农架,7,0,0,2,2020/01/31
湖北,神农架,7,0,0,2,2020/02/01
湖北,神农架,7,0,0,2,2020/02/02
湖北,神农架,7,0,0,2,2020/02/03
湖北,神农架,10,0,0,2,2020/02/04
湖北,神农架,10,0,0,2,2020/02/05
湖北,神农架,10,0,0,2,2020/02/06
浙江,全省,5,10,0,0,2020/01/21
浙江,全省,10,38,0,0,2020/01/22
浙江,全省,30,29,0,0,2020/01/23
浙江,全省,62,27,0,1,2020/01/24
浙江,全省,104,20,0,1,2020/01/25
浙江,全省,128,63,0,1,2020/01/26
浙江,全省,173,115,0,1,2020/01/27
浙江,全省,296,101,0,3,2020/01/28
浙江,全省,428,117,0,3,2020/01/29
浙江,全省,537,154,0,4,2020/01/30
浙江,全省,599,202,0,14,2020/01/31
浙江,全省,661,207,0,21,2020/02/01
浙江,全省,724,201,0,32,2020/02/02
浙江,全省,829,258,0,43,2020/02/03
浙江,全省,895,299,0,62,2020/02/04
浙江,全省,954,322,0,78,2020/02/05
浙江,温州,18,0,0,1,2020/01/26
浙江,温州,32,0,0,1,2020/01/27
浙江,温州,60,0,0,3,2020/01/28
浙江,温州,114,0,0,3,2020/01/29
浙江,温州,172,0,0,3,2020/01/30
浙江,温州,227,0,0,7,2020/01/31
浙江,温州,241,0,0,10,2020/02/01
浙江,温州,265,0,0,15,2020/02/02
浙江,温州,291,0,0,17,2020/02/03
浙江,温州,340,0,0,28,2020/02/04
浙江,温州,364,0,0,28,2020/02/05
浙江,温州,396,0,0,28,2020/02/06
浙江,杭州,27,0,0,0,2020/01/26
浙江,杭州,27,0,0,0,2020/01/27
浙江,杭州,32,0,0,0,2020/01/28
浙江,杭州,51,0,0,0,2020/01/29
浙江,杭州,69,0,0,0,2020/01/30
浙江,杭州,85,0,0,0,2020/01/31
浙江,杭州,98,0,0,3,2020/02/01
浙江,杭州,110,0,0,2,2020/02/02
浙江,杭州,118,0,0,2,2020/02/03
浙江,杭州,132,0,0,6,2020/02/04
浙江,杭州,141,0,0,14,2020/02/05
浙江,杭州,151,0,0,15,2020/02/06
浙江,宁波,13,0,0,0,2020/01/26
浙江,宁波,13,0,0,0,2020/01/27
浙江,宁波,17,0,0,0,2020/01/28
